Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"10,886,901.76",0.06,"10,886,901.76","75,941.00",143.36
AA,ALCOA CORP,Materials,Equity,"2,426,454.08",0.01,"2,426,454.08","66,008.00",36.76
AAL,AMERICAN AIRLINES GROUP INC,Industrials,Equity,"2,201,827.86",0.01,"2,201,827.86","172,287.00",12.78
AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,Equity,"418,921.30",0.00,"418,921.30","8,429.00",49.70
AAOI,APPLIED OPTOELECTRONICS INC,Information Technology,Equity,"409,021.41",0.00,"409,021.41","11,663.00",35.07
AAON,AAON INC,Industrials,Equity,"1,745,041.76",0.01,"1,745,041.76","17,336.00",100.66
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Equity,"780,171.60",0.00,"780,171.60","15,388.00",50.70
AAPL,APPLE INC,Information Technology,Equity,"1,045,169,542.00",6.04,"1,045,169,542.00","3,851,030.00",271.40
AAT,AMERICAN ASSETS TRUST REIT INC,Real Estate,Equity,"234,872.70",0.00,"234,872.70","12,297.00",19.10
ABBV,ABBVIE INC,Health Care,Equity,"106,781,397.80",0.62,"106,781,397.80","467,929.00",228.20
ABCB,AMERIS BANCORP,Financials,Equity,"1,143,853.20",0.01,"1,143,853.20","15,960.00",71.67
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Equity,"1,274,000.56",0.01,"1,274,000.56","5,348.00",238.22
ABM,ABM INDUSTRIES INC,Industrials,Equity,"741,731.76",0.00,"741,731.76","17,314.00",42.84
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,"14,110,788.26",0.08,"14,110,788.26","111,689.00",126.34
ABR,ARBOR REALTY TRUST REIT INC,Financials,Equity,"476,021.70",0.00,"476,021.70","41,214.00",11.55
ABSI,ABSCI CORP,Health Care,Equity,"140,622.38",0.00,"140,622.38","34,382.00",4.09
ABT,ABBOTT LABORATORIES,Health Care,Equity,"57,035,901.65",0.33,"57,035,901.65","457,495.00",124.67
ABUS,ARBUTUS BIOPHARMA CORP,Health Care,Equity,"231,458.48",0.00,"231,458.48","47,822.00",4.84
ACA,ARCOSA INC,Industrials,Equity,"1,165,394.25",0.01,"1,165,394.25","12,633.00",92.25
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,Equity,"775,661.40",0.00,"775,661.40","34,110.00",22.74
ACCO,ACCO BRANDS CORP,Industrials,Equity,"107,227.84",0.00,"107,227.84","27,424.00",3.91
ACDC,PROFRAC HOLDING CLASS A CORP,Energy,Equity,"42,697.54",0.00,"42,697.54","8,102.00",5.27
ACEL,ACCEL ENTERTAINMENT INC CLASS A,Consumer Discretionary,Equity,"128,064.65",0.00,"128,064.65","12,845.00",9.97
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,"8,416,036.32",0.05,"8,416,036.32","97,138.00",86.64
ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,Equity,"529,238.60",0.00,"529,238.60","24,277.00",21.80
ACHR,ARCHER AVIATION INC CLASS A,Industrials,Equity,"1,557,558.48",0.01,"1,557,558.48","142,113.00",10.96
ACI,ALBERTSONS COMPANY INC CLASS A,Consumer Staples,Equity,"1,953,210.87",0.01,"1,953,210.87","109,057.00",17.91
ACIC,AMERICAN COASTAL INSURANCE CORP,Financials,Equity,"137,616.36",0.00,"137,616.36","11,732.00",11.73
ACIW,ACI WORLDWIDE INC,Information Technology,Equity,"1,285,364.45",0.01,"1,285,364.45","27,215.00",47.23
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,Equity,"713,317.44",0.00,"713,317.44","8,716.00",81.84
ACLX,ARCELLX INC,Health Care,Equity,"938,262.50",0.01,"938,262.50","10,723.00",87.50
ACM,AECOM,Industrials,Equity,"4,705,366.64",0.03,"4,705,366.64","35,204.00",133.66
ACMR,ACM RESEARCH CLASS A INC,Information Technology,Equity,"650,369.16",0.00,"650,369.16","15,778.00",41.22
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"41,266,577.75",0.24,"41,266,577.75","165,563.00",249.25
ACNB,ACNB CORP,Financials,Equity,"141,520.59",0.00,"141,520.59","3,147.00",44.97
ACRE,ARES COMMERCIAL REAL ESTATE REIT C,Financials,Equity,"48,346.83",0.00,"48,346.83","10,963.00",4.41
ACT,ENACT HOLDINGS INC,Financials,Equity,"297,738.50",0.00,"297,738.50","8,387.00",35.50
ACTG,ACACIA RESEARCH CORP,Financials,Equity,"101,940.14",0.00,"101,940.14","30,521.00",3.34
ACVA,ACV AUCTIONS INC CLASS A,Industrials,Equity,"363,511.60",0.00,"363,511.60","40,844.00",8.90
ADAM,ADAMAS INC TRUST,Financials,Equity,"158,768.82",0.00,"158,768.82","24,129.00",6.58
ADBE,ADOBE INC,Information Technology,Equity,"38,200,459.44",0.22,"38,200,459.44","112,606.00",339.24
ADC,AGREE REALTY REIT CORP,Real Estate,Equity,"2,120,881.35",0.01,"2,120,881.35","29,105.00",72.87
ADCT,ADC THERAPEUTICS SA,Health Care,Equity,"214,188.43",0.00,"214,188.43","46,261.00",4.63
ADEA,ADEIA INC,Information Technology,Equity,"473,607.68",0.00,"473,607.68","27,664.00",17.12
ADI,ANALOG DEVICES INC,Information Technology,Equity,"30,453,771.10",0.18,"30,453,771.10","130,759.00",232.90
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,"7,664,479.41",0.04,"7,664,479.41","126,289.00",60.69
ADMA,ADMA BIOLOGICS INC,Health Care,Equity,"974,210.73",0.01,"974,210.73","63,799.00",15.27
ADNT,ADIENT PLC,Consumer Discretionary,Equity,"570,083.40",0.00,"570,083.40","24,615.00",23.16
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"28,076,030.09",0.16,"28,076,030.09","107,353.00",261.53
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,Health Care,Equity,"710,220.00",0.00,"710,220.00","42,000.00",16.91
ADRO,CHINOOK THERAPEUTICS INC,Health Care,Equity,"2,835.43",0.00,"2,835.43","16,679.00",0.17
ADRO,CHINOOK THERAPEUTICS INC CVR,Health Care,Equity,"2,019.50",0.00,"2,019.50","4,039.00",0.50
ADSK,AUTODESK INC,Information Technology,Equity,"16,881,317.79",0.10,"16,881,317.79","56,127.00",300.77
ADT,ADT INC,Consumer Discretionary,Equity,"1,177,627.60",0.01,"1,177,627.60","134,740.00",8.74
ADTN,ADTRAN HOLDINGS INC,Information Technology,Equity,"192,650.12",0.00,"192,650.12","18,278.00",10.54
ADUS,ADDUS HOMECARE CORP,Health Care,Equity,"515,589.96",0.00,"515,589.96","4,372.00",117.93
ADV,ADVANTAGE SOLUTIONS INC CLASS A,Communication,Equity,"49,136.18",0.00,"49,136.18","37,943.00",1.29
AEBI,AEBI SCHMIDT HOLDING AG,Industrials,Equity,"99,636.90",0.00,"99,636.90","9,141.00",10.90
AEE,AMEREN CORP,Utilities,Equity,"7,270,715.75",0.04,"7,270,715.75","70,775.00",102.73
AEHR,AEHR TEST SYSTEMS,Information Technology,Equity,"168,521.40",0.00,"168,521.40","6,714.00",25.10
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Equity,"1,943,836.94",0.01,"1,943,836.94","9,454.00",205.61
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,Equity,"793,126.08",0.00,"793,126.08","47,952.00",16.54
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"17,183,442.75",0.10,"17,183,442.75","140,975.00",121.89
AES,AES CORP,Utilities,Equity,"2,621,711.96",0.02,"2,621,711.96","186,998.00",14.02
AESI,ATLAS ENERGY SOLUTIONS INC,Energy,Equity,"214,520.11",0.00,"214,520.11","17,773.00",12.07
AEVA,AEVA TECHNOLOGIES INC,Information Technology,Equity,"125,100.69",0.00,"125,100.69","7,986.00",15.66
AFCG,ADVANCED FLOWER CAPITAL INC,Financials,Equity,"20,451.20",0.00,"20,451.20","6,391.00",3.20
AFG,AMERICAN FINANCIAL GROUP INC,Financials,Equity,"2,282,194.20",0.01,"2,282,194.20","17,420.00",131.01
AFL,AFLAC INC,Financials,Equity,"13,711,097.72",0.08,"13,711,097.72","128,333.00",106.84
AFRM,AFFIRM HOLDINGS INC CLASS A,Financials,Equity,"4,883,563.10",0.03,"4,883,563.10","70,879.00",68.90
AGCO,AGCO CORP,Industrials,Equity,"1,713,201.28",0.01,"1,713,201.28","16,144.00",106.12
AGIO,AGIOS PHARMACEUTICALS INC,Health Care,Equity,"693,039.00",0.00,"693,039.00","16,050.00",43.18
AGL,AGILON HEALTH,Health Care,Equity,"59,860.80",0.00,"59,860.80","74,826.00",0.80
AGM,FEDERAL AGRICULTURAL MORTGAGE NON,Financials,Equity,"388,949.04",0.00,"388,949.04","2,488.00",156.33
AGNC,AGNC INVESTMENT REIT CORP,Financials,Equity,"2,745,230.00",0.02,"2,745,230.00","274,523.00",10.00
AGO,ASSURED GUARANTY LTD,Financials,Equity,"1,049,327.79",0.01,"1,049,327.79","12,817.00",81.87
AGX,ARGAN INC,Industrials,Equity,"1,132,759.01",0.01,"1,132,759.01","3,797.00",298.33
AGYS,AGILYSYS INC,Information Technology,Equity,"803,379.08",0.00,"803,379.08","6,197.00",129.64
AHCO,ADAPTHEALTH CORP,Health Care,Equity,"178,042.35",0.00,"178,042.35","19,893.00",8.95
AHH,ARMADA HOFFLER PROPERTIES REIT INC,Real Estate,Equity,"94,389.30",0.00,"94,389.30","14,634.00",6.45
AHR,AMERICAN HEALTHCARE REIT INC,Real Estate,Equity,"1,808,330.70",0.01,"1,808,330.70","39,919.00",45.30
